,city,lat,Lng,Max Temp,Date,Country,Wind speed,Humidity,Cloudiness
287,kavaratti,10.57,72.64,82.01,1535147423,IN,14.67,96,36
288,vestmannaeyjar,63.44,-20.27,52.31,1535147424,IS,8.75,82,0
289,buala,-8.15,159.59,81.74,1535147424,SB,5.61,89,24
290,pasir gudang,1.46,103.88,78.8,1535146200,MY,2.24,94,40
291,torbay,47.66,-52.73,69.8,1535144400,CA,14.99,64,75
292,fairbanks,64.84,-147.72,52.16,1535145960,US,5.82,96,90
293,isangel,-19.55,169.27,71.66,1535147425,VU,18.37,100,76
294,praia da vitoria,38.73,-27.07,75.2,1535144400,PT,10.42,83,75
295,emerald,-23.53,148.16,58.16,1535147426,AU,3.15,80,100
296,walvis bay,-22.95,14.51,54.11,1535147426,NA,7.18,100,8
297,maniitsoq,65.42,-52.9,45.02,1535147427,GL,13.78,94,92
298,tiarei,-17.53,-149.33,82.4,1535146200,PF,18.34,61,20
299,media luna,-21.67,-64.63,57.2,1535144400,BO,11.41,58,20
300,lamar,38.09,-102.62,93.92,1535143980,US,4.7,16,1
301,mayachnyy,52.68,55.69,56.63,1535147428,RU,10.87,94,92
302,lichtenburg,-26.15,26.16,60.59,1535147428,ZA,14.0,38,0
303,tautira,-17.73,-149.15,82.4,1535146200,PF,18.34,61,20
304,diamantino,-14.4,-56.44,90.11,1535147428,BR,3.71,51,20
305,balkanabat,39.51,54.36,65.54,1535147429,TM,2.93,58,8
306,richards bay,-28.77,32.06,61.67,1535147429,ZA,8.3,95,8
307,szczecin,53.43,14.55,57.2,1535146200,PL,2.24,82,0
308,honiara,-9.43,159.96,75.2,1535144400,SB,2.59,94,20
309,port elizabeth,39.31,-74.98,82.04,1535144160,US,5.82,43,1
310,intipuca,13.2,-88.05,87.77,1535147429,SV,5.61,87,0
311,vung tau,10.35,107.08,80.6,1535146200,VN,8.05,94,40
312,zheleznodorozhnyy,55.75,38.0,57.2,1535144400,RU,2.24,81,0
313,indramayu,-4.05,103.78,67.61,1535147431,ID,1.59,96,92
314,broome,52.47,1.45,50.0,1535146080,GB,9.17,93,64
315,berlevag,70.86,29.09,57.2,1535145600,NO,9.17,67,0
316,steamboat springs,40.48,-106.83,78.98,1535146560,US,8.05,22,1
317,fare,-16.7,-151.02,78.95,1535147432,PF,14.56,99,0
318,kudahuvadhoo,2.67,72.89,82.46,1535147432,MV,6.4,100,32
319,joshimath,30.57,79.57,37.1,1535147433,IN,0.81,100,92
320,faya,18.39,42.45,71.6,1535144400,SA,3.36,60,0
321,kursavka,44.46,42.51,66.2,1535144400,RU,13.42,59,0
322,belomorsk,64.52,34.76,60.86,1535147433,RU,10.2,83,0
323,dhidhdhoo,6.88,73.1,81.83,1535147433,MV,11.65,100,80
324,dalby,-27.18,151.26,51.8,1535144400,AU,6.93,93,8
325,pisco,-13.71,-76.2,71.6,1535144400,PE,14.99,30,0
326,hami,42.84,93.51,62.75,1535147434,CN,3.6,56,0
327,mersing,2.43,103.84,78.86,1535147434,MY,6.62,94,92
328,yulara,-25.24,130.99,37.4,1535144400,AU,9.17,87,0
329,quatre cocos,-20.21,57.76,71.6,1535144400,MU,16.11,73,75
330,christchurch,-43.53,172.64,48.2,1535146200,NZ,9.17,76,80
331,erenhot,43.65,111.97,54.11,1535147435,CN,6.73,73,0
332,grand gaube,-20.01,57.66,71.6,1535144400,MU,16.11,73,75
333,klaksvik,62.23,-6.59,48.2,1535145600,FO,20.8,81,88
334,whitehorse,60.72,-135.06,53.6,1535144400,CA,6.93,71,90
335,saldanha,41.42,-6.55,67.34,1535147436,PT,5.17,45,0
336,kununurra,-15.77,128.74,50.0,1535146200,AU,5.39,81,0
337,suba,28.73,103.51,70.31,1535147437,CN,2.71,75,68
338,nipawin,53.36,-104.02,60.8,1535144400,CA,14.99,59,1
339,baymak,52.6,58.31,51.59,1535147437,RU,8.19,92,76
340,ayan,40.67,33.6,58.97,1535147437,TR,2.04,62,0
341,nouadhibou,20.93,-17.03,78.23,1535147438,MR,10.54,69,0
342,martapura,-3.41,114.85,73.91,1535147438,ID,3.71,100,8
343,mitsamiouli,-11.38,43.28,75.2,1535144400,KM,10.29,73,20
344,saint pete beach,27.73,-82.74,87.98,1535147040,US,4.7,63,20
345,dir,6.33,13.54,65.0,1535147439,CM,2.93,95,44
